Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A465550,OWNER SUR,07/19/2020,RASCAL,OTHER,7 WEEKS,SMALL,WHITE / BLACK,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465550&location=MONT,
A464775,STRAY,06/27/2020,*HURLEY,BIRD,1 YEAR,SMALL,BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464775&location=MONT,"400 HURLEY AVE, ROCKVILLE MD 20850"
A460422,OWNER SUR,02/08/2020,*HARDHAT,OTHER,NO AGE,MED,BROWN / YELLOW,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460422&location=MONT,
A460210,TRANSFER,02/01/2020,HOMER,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460210&location=MONT,
A464255,OWNER SUR,06/13/2020,TURTY,OTHER,2 YEARS,MED,BROWN / ORANGE,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464255&location=MONT,
A463108,FOSTER,06/30/2020,DAGGER,DOG,3 YEARS,MED,TAN,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A463108&location=MONT,
A464684,STRAY,06/25/2020,*STAR GAZER,DOG,2 YEARS,MED,TAN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464684&location=MONT,"DARNESTOWN RD & BUCKLODGE RD, BOYDS MD 20841"
A465079,STRAY,07/07/2020,*WAYLON,DOG,8 YEARS,LARGE,BRINDLE,AM PIT BULL TER / BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465079&location=MONT,"13000 DAIRYMAID DR, GERMANTOWN MD 20874"
A465311,OWNER SUR,07/12/2020,*ARCHER,OTHER,7 WEEKS,SMALL,WHITE / BLACK,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465311&location=MONT,
A460731,OWNER SUR,02/18/2020,MAUI,DOG,1 YEAR 5 MONTHS,MED,TAN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460731&location=MONT,
A464180,OWNER SUR,06/11/2020,CHEWIE,OTHER,2 YEARS,SMALL,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464180&location=MONT,
A464315,OWNER SUR,06/15/2020,SAM,OTHER,3 YEARS,SMALL,TAN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464315&location=MONT,
